matching.btree_spp,link_sp_name,cz,BL_latin,c_name,sister_split
Tachyeres brachypterus,falkland-steamerduck-tachyeres-brachypterus,ok,Tachyeres brachypterus,Falkland Steamerduck,
Tachyeres patachonicus,flying-steamerduck-tachyeres-patachonicus,ok,Tachyeres patachonicus,Flying Steamerduck,
Tachyeres pteneres,magellanic-steamerduck-tachyeres-pteneres,ok,Tachyeres pteneres,Magellanic Steamerduck,
Tachymarptis melba,alpine-swift-tachymarptis-melba,ok,Tachymarptis melba,Alpine Swift,
Tachyphonus coronatus,ruby-crowned-tanager-tachyphonus-coronatus,ok,Tachyphonus coronatus,Ruby-crowned Tanager,
Tachyphonus cristatus,flame-crested-tanager-islerothraupis-cristata,ok,Islerothraupis cristata,Flame-crested Tanager,
Tachyphonus delatrii,tawny-crested-tanager-chrysocorypha-delatrii,ok,Chrysocorypha delatrii,Tawny-crested Tanager,
Tachyphonus luctuosus,white-shouldered-tanager-islerothraupis-luctuosa,ok,Islerothraupis luctuosa,White-shouldered Tanager,
Tachyphonus phoenicius,red-shouldered-tanager-tachyphonus-phoenicius,ok,Tachyphonus phoenicius,Red-shouldered Tanager,
Tachyphonus rufiventer,yellow-crested-tanager-islerothraupis-rufiventer,ok,Islerothraupis rufiventer,Yellow-crested Tanager,
Tachyphonus rufus,white-lined-tanager-tachyphonus-rufus,ok,Tachyphonus rufus,White-lined Tanager,
Tachyphonus surinamus,fulvous-crested-tanager-maschalethraupis-surinama,ok,Maschalethraupis surinama,Fulvous-crested Tanager,
Tadorna ferruginea,ruddy-shelduck-tadorna-ferruginea,ok,Tadorna ferruginea,Ruddy Shelduck,
Talegalla cuvieri,red-billed-brush-turkey-talegalla-cuvieri,ok,Talegalla cuvieri,Red-billed Brush-turkey,
Tangara argyrofenges,straw-backed-tanager-tangara-argyrofenges,ok,Tangara argyrofenges,Straw-backed Tanager,
Tangara callophrys,opal-crowned-tanager-tangara-callophrys,ok,Tangara callophrys,Opal-crowned Tanager,
Tangara chilensis,paradise-tanager-tangara-chilensis,ok,Tangara chilensis,Paradise Tanager,
Tangara chrysotis,golden-eared-tanager-tangara-chrysotis,ok,Tangara chrysotis,Golden-eared Tanager,
Tangara cyanicollis,blue-necked-tanager-tangara-cyanicollis,ok,Tangara cyanicollis,Blue-necked Tanager,
Tangara cyanocephala,red-necked-tanager-tangara-cyanocephala,ok,Tangara cyanocephala,Red-necked Tanager,
Tangara cyanoptera,black-headed-tanager-tangara-argentea,ok,Tangara argentea,Black-headed Tanager,
Tangara cyanoptera,black-hooded-tanager-tangara-whitelyi,ok,Tangara whitelyi,Black-hooded tanager,
Tangara cyanotis,blue-browed-tanager-tangara-cyanotis,ok,Tangara cyanotis,Blue-browed Tanager,
Tangara cyanoventris,gilt-edged-tanager-tangara-cyanoventris,ok,Tangara cyanoventris,Gilt-edged Tanager,
Tangara desmaresti,brassy-breasted-tanager-tangara-desmaresti,ok,Tangara desmaresti,Brassy-breasted Tanager,
Tangara dowii,spangle-cheeked-tanager-tangara-dowii,ok,Tangara dowii,Spangle-cheeked Tanager,
Tangara fastuosa,seven-colored-tanager-tangara-fastuosa,ok,Tangara fastuosa,Seven-colored Tanager,
Tangara florida,emerald-tanager-tangara-florida,ok,Tangara florida,Emerald Tanager,
Tangara guttata,speckled-tanager-tangara-guttata,ok,Tangara guttata,Speckled Tanager,
Tangara gyrola,bay-headed-tanager-tangara-gyrola,ok,Tangara gyrola,Bay-headed Tanager,
Tangara heinei,black-capped-tanager-tangara-heinei,ok,Tangara heinei,Black-capped Tanager,
Tangara icterocephala,silver-throated-tanager-tangara-icterocephala,ok,Tangara icterocephala,Silver-throated Tanager,
Tangara inornata,plain-colored-tanager-tangara-inornata,ok,Tangara inornata,Plain-colored Tanager,
Tangara labradorides,metallic-green-tanager-tangara-labradorides,ok,Tangara labradorides,Metallic-green Tanager,
Tangara larvata,golden-hooded-tanager-tangara-larvata,ok,Tangara larvata,Golden-hooded Tanager,
Tangara lavinia,rufous-winged-tanager-tangara-lavinia,ok,Tangara lavinia,Rufous-winged Tanager,
Tangara nigrocincta,masked-tanager-tangara-nigrocincta,ok,Tangara nigrocincta,Masked Tanager,
Tangara nigroviridis,beryl-spangled-tanager-tangara-nigroviridis,ok,Tangara nigroviridis,Beryl-spangled Tanager,
Tangara peruviana,black-backed-tanager-tangara-peruviana,ok,Tangara peruviana,Black-backed Tanager,
Tangara preciosa,chestnut-backed-tanager-tangara-preciosa,ok,Tangara preciosa,Chestnut-backed Tanager,
Tangara punctata,spotted-tanager-tangara-punctata,ok,Tangara punctata,Spotted Tanager,
Tangara rufigenis,rufous-cheeked-tanager-tangara-rufigenis,ok,Tangara rufigenis,Rufous-cheeked Tanager,
Tangara rufigula,rufous-throated-tanager-tangara-rufigula,ok,Tangara rufigula,Rufous-throated Tanager,
Tangara schrankii,green-and-gold-tanager-tangara-schrankii,ok,Tangara schrankii,Green-and-gold Tanager,
Tangara seledon,green-headed-tanager-tangara-seledon,ok,Tangara seledon,Green-headed Tanager,
Tangara varia,dotted-tanager-tangara-varia,ok,Tangara varia,Dotted Tanager,
Tangara viridicollis,silver-backed-tanager-tangara-viridicollis,ok,Tangara viridicollis,Silver-backed Tanager,
Tangara vitriolina,scrub-tanager-tangara-vitriolina,ok,Tangara vitriolina,Scrub Tanager,
Tangara xanthocephala,saffron-crowned-tanager-tangara-xanthocephala,ok,Tangara xanthocephala,Saffron-crowned Tanager,
Tangara xanthogastra,yellow-bellied-tanager-tangara-xanthogastra,ok,Tangara xanthogastra,Yellow-bellied Tanager,
Tanygnathus gramineus,black-lored-parrot-tanygnathus-gramineus,ok,Tanygnathus gramineus,Black-lored Parrot,
Tanygnathus lucionensis,blue-naped-parrot-tanygnathus-lucionensis,ok,Tanygnathus lucionensis,Blue-naped Parrot,
Tanygnathus megalorynchos,great-billed-parrot-tanygnathus-megalorynchos,ok,Tanygnathus megalorynchos,Great-billed Parrot,
Tanygnathus sumatranus,blue-backed-parrot-tanygnathus-sumatranus,ok,Tanygnathus sumatranus,Blue-backed Parrot,
Tanysiptera carolinae,numfor-paradise-kingfisher-tanysiptera-carolinae,ok,Tanysiptera carolinae,Numfor Paradise-kingfisher,
Tanysiptera danae,brown-headed-paradise-kingfisher-tanysiptera-danae,ok,Tanysiptera danae,Brown-headed Paradise-kingfisher,
Tanysiptera ellioti,kofiau-paradise-kingfisher-tanysiptera-ellioti,ok,Tanysiptera ellioti,Kofiau Paradise-kingfisher,
Tanysiptera galatea,common-paradise-kingfisher-tanysiptera-galatea,ok,Tanysiptera galatea,Common Paradise-kingfisher,
Tanysiptera hydrocharis,little-paradise-kingfisher-tanysiptera-hydrocharis,ok,Tanysiptera hydrocharis,Little Paradise-kingfisher,
Tanysiptera nympha,red-breasted-paradise-kingfisher-tanysiptera-nympha,ok,Tanysiptera nympha,Red-breasted Paradise-kingfisher,
Tanysiptera riedelii,biak-paradise-kingfisher-tanysiptera-riedelii,ok,Tanysiptera riedelii,Biak Paradise-kingfisher,
Taoniscus nanus,dwarf-tinamou-taoniscus-nanus,ok,Taoniscus nanus,Dwarf Tinamou,
Tapera naevia,striped-cuckoo-tapera-naevia,ok,Tapera naevia,Striped Cuckoo,
Taphrolesbia griseiventris,grey-bellied-comet-taphrolesbia-griseiventris,ok,Taphrolesbia griseiventris,Grey-bellied Comet,
Taphrospilus hypostictus,many-spotted-hummingbird-taphrospilus-hypostictus,ok,Taphrospilus hypostictus,Many-spotted Hummingbird,
Taraba major,great-antshrike-taraba-major,ok,Taraba major,Great Antshrike,
Tarphonomus certhioides,chaco-earthcreeper-tarphonomus-certhioides,ok,Tarphonomus certhioides,Chaco Earthcreeper,
Tarsiger chrysaeus,golden-bush-robin-tarsiger-chrysaeus,ok,Tarsiger chrysaeus,Golden Bush-robin,
Tauraco erythrolophus,red-crested-turaco-tauraco-erythrolophus,ok,Tauraco erythrolophus,Red-crested Turaco,
Tchagra minutus,marsh-tchagra-bocagia-minuta,ok,Bocagia minuta,Marsh Tchagra,
Tchagra senegalus,black-crowned-tchagra-tchagra-senegalus,ok,Tchagra senegalus,Black-crowned Tchagra,
Telacanthura ussheri,mottled-spinetail-telacanthura-ussheri,ok,Telacanthura ussheri,Mottled Spinetail,
Teledromas fuscus,sandy-gallito-teledromas-fuscus,ok,Teledromas fuscus,Sandy Gallito,
Telespiza cantans,laysan-finch-telespiza-cantans,ok,Telespiza cantans,Laysan Finch,
Telophorus bocagei,bocages-bush-shrike-chlorophoneus-bocagei,ok,Chlorophoneus bocagei,Bocage's Bush-shrike,
Telophorus zeylonus,bokmakierie-telophorus-zeylonus,ok,Telophorus zeylonus,Bokmakierie,
Temnurus temnurus,ratchet-tailed-treepie-temnurus-temnurus,ok,Temnurus temnurus,Ratchet-tailed Treepie,
Tephrozosterops stalkeri,bicoloured-white-eye-tephrozosterops-stalkeri,ok,Tephrozosterops stalkeri,Bicoloured White-eye,
Terathopius ecaudatus,bateleur-terathopius-ecaudatus,ok,Terathopius ecaudatus,Bateleur,
Terenotriccus erythrurus,ruddy-tailed-flycatcher-terenotriccus-erythrurus,ok,Terenotriccus erythrurus,Ruddy-tailed Flycatcher,
Terenura maculata,streak-capped-antwren-terenura-maculata,ok,Terenura maculata,Streak-capped Antwren,
Teretistris fernandinae,yellow-headed-warbler-teretistris-fernandinae,ok,Teretistris fernandinae,Yellow-headed Warbler,
Terpsiphone rufiventer,red-bellied-paradise-flycatcher-terpsiphone-rufiventer,ok,Terpsiphone rufiventer,Red-bellied Paradise-flycatcher,Terpsiphone smithii
Terpsiphone viridis,african-paradise-flycatcher-terpsiphone-viridis,ok,Terpsiphone viridis,African Paradise-flycatcher,
Tersina viridis,swallow-tanager-tersina-viridis,ok,Tersina viridis,Swallow Tanager,
Tesia castaneocoronata,chestnut-headed-tesia-cettia-castaneocoronata,ok,Cettia castaneocoronata,Chestnut-headed Tesia,
Tesia cyaniventer,grey-bellied-tesia-tesia-cyaniventer,ok,Tesia cyaniventer,Grey-bellied Tesia,
Tesia everetti,russet-capped-tesia-tesia-everetti,ok,Tesia everetti,Russet-capped Tesia,
Tesia olivea,slaty-bellied-tesia-tesia-olivea,ok,Tesia olivea,Slaty-bellied Tesia,
Tesia superciliaris,javan-tesia-tesia-superciliaris,ok,Tesia superciliaris,Javan Tesia,
Tetrao tetrix,black-grouse-lyrurus-tetrix,ok,Lyrurus tetrix,Black Grouse,
Tetraogallus caspius,caspian-snowcock-tetraogallus-caspius,ok,Tetraogallus caspius,Caspian Snowcock,
Tetraogallus himalayensis,himalayan-snowcock-tetraogallus-himalayensis,ok,Tetraogallus himalayensis,Himalayan Snowcock,
Tetraophasis szechenyii,buff-throated-partridge-tetraophasis-szechenyii,ok,Tetraophasis szechenyii,Buff-throated Partridge,
Tetrax tetrax,little-bustard-tetrax-tetrax,ok,Tetrax tetrax,Little Bustard,
Thalassarche bulleri,bullers-albatross-thalassarche-bulleri,ok,Thalassarche bulleri,Buller's Albatross,
Thalassarche cauta,shy-albatross-thalassarche-cauta,ok,Thalassarche cauta,Shy Albatross,
Thalassarche chlororhynchos,atlantic-yellow-nosed-albatross-thalassarche-chlororhynchos,ok,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,
Thalassarche chrysostoma,grey-headed-albatross-thalassarche-chrysostoma,ok,Thalassarche chrysostoma,Grey-headed Albatross,
Thalassarche impavida,campbell-albatross-thalassarche-impavida,ok,Thalassarche impavida,Campbell Albatross,
Thalassarche salvini,salvins-albatross-thalassarche-salvini,ok,Thalassarche salvini,Salvin's Albatross,
Thalassoica antarctica,antarctic-petrel-thalassoica-antarctica,ok,Thalassoica antarctica,Antarctic Petrel,
Thalassornis leuconotus,white-backed-duck-thalassornis-leuconotus,ok,Thalassornis leuconotus,White-backed Duck,
Thalurania colombica,crowned-woodnymph-thalurania-colombica,ok,Thalurania colombica,Crowned Woodnymph,Thalurania fannyi
Thalurania furcata,fork-tailed-woodnymph-thalurania-furcata,ok,Thalurania furcata,Fork-tailed Woodnymph,
Thalurania watertonii,long-tailed-woodnymph-thalurania-watertonii,ok,Thalurania watertonii,Long-tailed Woodnymph,
Thamnomanes saturninus,saturnine-antshrike-thamnomanes-saturninus,ok,Thamnomanes saturninus,Saturnine Antshrike,
Thamnophilus ambiguus,sooretama-slaty-antshrike-thamnophilus-ambiguus,ok,Thamnophilus ambiguus,Sooretama Slaty Antshrike,
Thamnophilus bridgesi,black-hooded-antshrike-thamnophilus-bridgesi,ok,Thamnophilus bridgesi,Black-hooded Antshrike,
Thamnophilus doliatus,barred-antshrike-thamnophilus-doliatus,ok,Thamnophilus doliatus,Barred Antshrike,
Thamnophilus multistriatus,bar-crested-antshrike-thamnophilus-multistriatus,ok,Thamnophilus multistriatus,Bar-crested Antshrike,
Thamnophilus pelzelni,planalto-slaty-antshrike-thamnophilus-pelzelni,ok,Thamnophilus pelzelni,Planalto Slaty Antshrike,
Thamnophilus sticturus,bolivian-slaty-antshrike-thamnophilus-sticturus,ok,Thamnophilus sticturus,Bolivian Slaty Antshrike,
Thamnornis chloropetoides,thamnornis-thamnornis-chloropetoides,ok,Thamnornis chloropetoides,Thamnornis,
Thaumastura cora,peruvian-sheartail-thaumastura-cora,ok,Thaumastura cora,Peruvian Sheartail,
Thaumatibis gigantea,giant-ibis-thaumatibis-gigantea,ok,Thaumatibis gigantea,Giant Ibis,
Theristicus caerulescens,plumbeous-ibis-theristicus-caerulescens,ok,Theristicus caerulescens,Plumbeous Ibis,
Theristicus caudatus,buff-necked-ibis-theristicus-caudatus,ok,Theristicus caudatus,Buff-necked Ibis,
Theristicus melanopis,andean-ibis-theristicus-branickii,ok,Theristicus branickii,Andean Ibis,
Theristicus melanopis,black-faced-ibis-theristicus-melanopis,ok,Theristicus melanopis,Black-faced Ibis,
Thescelocichla leucopleura,swamp-palm-bulbul-thescelocichla-leucopleura,ok,Thescelocichla leucopleura,Swamp Palm Bulbul,
Thinocorus orbignyianus,grey-breasted-seedsnipe-thinocorus-orbignyianus,ok,Thinocorus orbignyianus,Grey-breasted Seedsnipe,
Thinocorus rumicivorus,least-seedsnipe-thinocorus-rumicivorus,ok,Thinocorus rumicivorus,Least Seedsnipe,
Thlypopsis fulviceps,fulvous-headed-tanager-thlypopsis-fulviceps,ok,Thlypopsis fulviceps,Fulvous-headed Tanager,
Thlypopsis ornata,rufous-chested-tanager-thlypopsis-ornata,ok,Thlypopsis ornata,Rufous-chested Tanager,
Thlypopsis ruficeps,rust-and-yellow-tanager-thlypopsis-ruficeps,ok,Thlypopsis ruficeps,Rust-and-yellow Tanager,
Thlypopsis sordida,orange-headed-tanager-thlypopsis-sordida,ok,Thlypopsis sordida,Orange-headed Tanager,
Thraupis abbas,yellow-winged-tanager-tangara-abbas,ok,Tangara abbas,Yellow-winged Tanager,
Thraupis cyanocephala,blue-capped-tanager-sporathraupis-cyanocephala,ok,Sporathraupis cyanocephala,Blue-capped Tanager,
Thraupis cyanoptera,azure-shouldered-tanager-tangara-cyanoptera,ok,Tangara cyanoptera,Azure-shouldered Tanager,
Thraupis episcopus,blue-grey-tanager-tangara-episcopus,ok,Tangara episcopus,Blue-grey Tanager,
Thraupis glaucocolpa,glaucous-tanager-tangara-glaucocolpa,ok,Tangara glaucocolpa,Glaucous Tanager,
Thraupis ornata,golden-chevroned-tanager-tangara-ornata,ok,Tangara ornata,Golden-chevroned Tanager,
Thraupis palmarum,palm-tanager-tangara-palmarum,ok,Tangara palmarum,Palm Tanager,
Thraupis sayaca,sayaca-tanager-tangara-sayaca,ok,Tangara sayaca,Sayaca Tanager,
Threnetes niger,sooty-barbthroat-threnetes-niger,ok,Threnetes niger,Sooty Barbthroat,
Threskiornis aethiopicus,african-sacred-ibis-threskiornis-aethiopicus,ok,Threskiornis aethiopicus,African Sacred Ibis,
Thripadectes melanorhynchus,black-billed-treehunter-thripadectes-melanorhynchus,ok,Thripadectes melanorhynchus,Black-billed Treehunter,
Thripadectes rufobrunneus,streak-breasted-treehunter-thripadectes-rufobrunneus,ok,Thripadectes rufobrunneus,Streak-breasted Treehunter,
Thripias namaquus,bearded-woodpecker-dendropicos-namaquus,ok,Dendropicos namaquus,Bearded Woodpecker,
Thripophaga macroura,striated-softtail-thripophaga-macroura,ok,Thripophaga macroura,Striated Softtail,
Thryomanes bewickii,bewicks-wren-thryomanes-bewickii,ok,Thryomanes bewickii,Bewick's Wren,
Thryorchilus browni,timberline-wren-thryorchilus-browni,ok,Thryorchilus browni,Timberline Wren,
Thryothorus atrogularis,black-throated-wren-pheugopedius-atrogularis,ok,Pheugopedius atrogularis,Black-throated Wren,
Thryothorus felix,happy-wren-pheugopedius-felix,ok,Pheugopedius felix,Happy Wren,
Thryothorus semibadius,riverside-wren-cantorchilus-semibadius,ok,Cantorchilus semibadius,Riverside Wren,
Thryothorus superciliaris,superciliated-wren-cantorchilus-superciliaris,ok,Cantorchilus superciliaris,Superciliated Wren,
Tiaris bicolor,black-faced-grassquit-melanospiza-bicolor,ok,Melanospiza bicolor,Black-faced Grassquit,
Tiaris canorus,cuban-grassquit-phonipara-canora,ok,Phonipara canora,Cuban Grassquit,
Tiaris fuliginosus,sooty-grassquit-asemospiza-fuliginosa,ok,Asemospiza fuliginosa,Sooty Grassquit,
Tiaris obscurus,dull-colored-grassquit-asemospiza-obscura,ok,Asemospiza obscura,Dull-colored Grassquit,
Tiaris olivaceus,yellow-faced-grassquit-tiaris-olivaceus,ok,Tiaris olivaceus,Yellow-faced Grassquit,
Tichodroma muraria,wallcreeper-tichodroma-muraria,ok,Tichodroma muraria,Wallcreeper,
Tickellia hodgsoni,broad-billed-warbler-tickellia-hodgsoni,ok,Tickellia hodgsoni,Broad-billed Warbler,
Tigriornis leucolopha,white-crested-tiger-heron-tigriornis-leucolopha,ok,Tigriornis leucolopha,White-crested Tiger-heron,
Tigrisoma fasciatum,fasciated-tiger-heron-tigrisoma-fasciatum,ok,Tigrisoma fasciatum,Fasciated Tiger-heron,
Tigrisoma lineatum,rufescent-tiger-heron-tigrisoma-lineatum,ok,Tigrisoma lineatum,Rufescent Tiger-heron,
Tigrisoma mexicanum,bare-throated-tiger-heron-tigrisoma-mexicanum,ok,Tigrisoma mexicanum,Bare-throated Tiger-heron,
Tijuca atra,black-and-gold-cotinga-lipaugus-ater,ok,Lipaugus ater,Black-and-gold Cotinga,
Tilmatura dupontii,sparkling-tailed-woodstar-tilmatura-dupontii,ok,Tilmatura dupontii,Sparkling-tailed Woodstar,
Timalia pileata,chestnut-capped-babbler-timalia-pileata,ok,Timalia pileata,Chestnut-capped Babbler,
Timeliopsis fulvigula,olive-straightbill-timeliopsis-fulvigula,ok,Timeliopsis fulvigula,Olive Straightbill,
Timeliopsis griseigula,tawny-straightbill-timeliopsis-griseigula,ok,Timeliopsis griseigula,Tawny Straightbill,
Tinamotis pentlandii,puna-tinamou-tinamotis-pentlandii,ok,Tinamotis pentlandii,Puna Tinamou,
Tinamus guttatus,white-throated-tinamou-tinamus-guttatus,ok,Tinamus guttatus,White-throated Tinamou,
Tinamus major,great-tinamou-tinamus-major,ok,Tinamus major,Great Tinamou,
Tinamus solitarius,solitary-tinamou-tinamus-solitarius,ok,Tinamus solitarius,Solitary Tinamou,
Tinamus tao,grey-tinamou-tinamus-tao,ok,Tinamus tao,Grey Tinamou,
Tityra semifasciata,masked-tityra-tityra-semifasciata,ok,Tityra semifasciata,Masked Tityra,
Tmetothylacus tenellus,golden-pipit-tmetothylacus-tenellus,ok,Tmetothylacus tenellus,Golden Pipit,
Tockus alboterminatus,crowned-hornbill-lophoceros-alboterminatus,ok,Lophoceros alboterminatus,Crowned Hornbill,
Tockus bradfieldi,bradfields-hornbill-lophoceros-bradfieldi,ok,Lophoceros bradfieldi,Bradfield's Hornbill,
Tockus camurus,dwarf-hornbill-lophoceros-camurus,ok,Lophoceros camurus,Dwarf Hornbill,
Tockus deckeni,von-der-deckens-hornbill-tockus-deckeni,ok,Tockus deckeni,Von der Decken's Hornbill,
Tockus fasciatus,congo-pied-hornbill-lophoceros-fasciatus,ok,Lophoceros fasciatus,Congo Pied Hornbill,
Tockus fasciatus,west-african-pied-hornbill-lophoceros-semifasciatus,ok,Lophoceros semifasciatus,West African Pied Hornbill,
Tockus flavirostris,eastern-yellow-billed-hornbill-tockus-flavirostris,ok,Tockus flavirostris,Eastern Yellow-billed Hornbill,
Tockus hartlaubi,eastern-little-hornbill-horizocerus-granti,ok,Horizocerus granti,Eastern Little Hornbill,
Tockus hartlaubi,western-little-hornbill-horizocerus-hartlaubi,ok,Horizocerus hartlaubi,Western Little Hornbill,
Tockus hemprichii,hemprichs-hornbill-lophoceros-hemprichii,ok,Lophoceros hemprichii,Hemprich's Hornbill,
Tockus jacksoni,jacksons-hornbill-tockus-jacksoni,ok,Tockus jacksoni,Jackson's Hornbill,
Tockus leucomelas,southern-yellow-billed-hornbill-tockus-leucomelas,ok,Tockus leucomelas,Southern Yellow-billed Hornbill,
Tockus monteiri,monteiros-hornbill-tockus-monteiri,ok,Tockus monteiri,Monteiro's Hornbill,
Tockus nasutus,african-grey-hornbill-lophoceros-nasutus,ok,Lophoceros nasutus,African Grey Hornbill,
Tockus pallidirostris,pale-billed-hornbill-lophoceros-pallidirostris,ok,Lophoceros pallidirostris,Pale-billed Hornbill,
Todiramphus australasia,cinnamon-banded-kingfisher-todiramphus-australasia,ok,Todiramphus australasia,Cinnamon-banded Kingfisher,
Todiramphus chloris,collared-kingfisher-todiramphus-chloris,ok,Todiramphus chloris,Collared Kingfisher,
Todiramphus diops,blue-and-white-kingfisher-todiramphus-diops,ok,Todiramphus diops,Blue-and-white Kingfisher,
Todiramphus farquhari,vanuatu-kingfisher-todiramphus-farquhari,ok,Todiramphus farquhari,Vanuatu Kingfisher,
Todiramphus funebris,sombre-kingfisher-todiramphus-funebris,ok,Todiramphus funebris,Sombre Kingfisher,
Todiramphus gambieri,tuamotu-kingfisher-todiramphus-gambieri,ok,Todiramphus gambieri,Tuamotu Kingfisher,
Todiramphus godeffroyi,marquesas-kingfisher-todiramphus-godeffroyi,ok,Todiramphus godeffroyi,Marquesas Kingfisher,
Todiramphus lazuli,lazuli-kingfisher-todiramphus-lazuli,ok,Todiramphus lazuli,Lazuli Kingfisher,
Todiramphus leucopygius,ultramarine-kingfisher-todiramphus-leucopygius,ok,Todiramphus leucopygius,Ultramarine Kingfisher,
Todiramphus macleayii,forest-kingfisher-todiramphus-macleayii,ok,Todiramphus macleayii,Forest Kingfisher,
Todiramphus nigrocyaneus,blue-black-kingfisher-todiramphus-nigrocyaneus,ok,Todiramphus nigrocyaneus,Blue-black Kingfisher,
Todiramphus pyrrhopygius,red-backed-kingfisher-todiramphus-pyrrhopygius,ok,Todiramphus pyrrhopygius,Red-backed Kingfisher,
Todiramphus recurvirostris,flat-billed-kingfisher-todiramphus-recurvirostris,ok,Todiramphus recurvirostris,Flat-billed Kingfisher,
Todiramphus ruficollaris,mangaia-kingfisher-todiramphus-ruficollaris,ok,Todiramphus ruficollaris,Mangaia Kingfisher,
Todiramphus sanctus,sacred-kingfisher-todiramphus-sanctus,ok,Todiramphus sanctus,Sacred Kingfisher,
Todiramphus tutus,chattering-kingfisher-todiramphus-tutus,ok,Todiramphus tutus,Chattering Kingfisher,
Todiramphus winchelli,rufous-lored-kingfisher-todiramphus-winchelli,ok,Todiramphus winchelli,Rufous-lored Kingfisher,
Todirostrum maculatum,spotted-tody-flycatcher-todirostrum-maculatum,ok,Todirostrum maculatum,Spotted Tody-flycatcher,
Todus angustirostris,narrow-billed-tody-todus-angustirostris,ok,Todus angustirostris,Narrow-billed Tody,
Todus mexicanus,puerto-rican-tody-todus-mexicanus,ok,Todus mexicanus,Puerto Rican Tody,
Todus multicolor,cuban-tody-todus-multicolor,ok,Todus multicolor,Cuban Tody,
Todus subulatus,broad-billed-tody-todus-subulatus,ok,Todus subulatus,Broad-billed Tody,
Todus todus,jamaican-tody-todus-todus,ok,Todus todus,Jamaican Tody,
Tolmomyias sulphurescens,yellow-olive-flatbill-tolmomyias-sulphurescens,ok,Tolmomyias sulphurescens,Yellow-olive Flatbill,
Topaza pella,crimson-topaz-topaza-pella,ok,Topaza pella,Crimson Topaz,
Torgos tracheliotos,lappet-faced-vulture-torgos-tracheliotos,ok,Torgos tracheliotos,Lappet-faced Vulture,
Torreornis inexpectata,zapata-sparrow-torreornis-inexpectata,ok,Torreornis inexpectata,Zapata Sparrow,
Touit batavicus,lilac-tailed-parrotlet-touit-batavicus,ok,Touit batavicus,Lilac-tailed Parrotlet,
Touit dilectissimus,blue-fronted-parrotlet-touit-dilectissimus,ok,Touit dilectissimus,Blue-fronted Parrotlet,
Touit huetii,scarlet-shouldered-parrotlet-touit-huetii,ok,Touit huetii,Scarlet-shouldered Parrotlet,
Touit melanonotus,brown-backed-parrotlet-touit-melanonotus,ok,Touit melanonotus,Brown-backed Parrotlet,
Touit purpuratus,sapphire-rumped-parrotlet-touit-purpuratus,ok,Touit purpuratus,Sapphire-rumped Parrotlet,
Touit stictopterus,spot-winged-parrotlet-touit-stictopterus,ok,Touit stictopterus,Spot-winged Parrotlet,
Touit surdus,golden-tailed-parrotlet-touit-surdus,ok,Touit surdus,Golden-tailed Parrotlet,
Toxorhamphus novaeguineae,yellow-bellied-longbill-toxorhamphus-novaeguineae,ok,Toxorhamphus novaeguineae,Yellow-bellied Longbill,
Toxostoma bendirei,bendires-thrasher-toxostoma-bendirei,ok,Toxostoma bendirei,Bendire's Thrasher,
Toxostoma cinereum,grey-thrasher-toxostoma-cinereum,ok,Toxostoma cinereum,Grey Thrasher,
Toxostoma crissale,crissal-thrasher-toxostoma-crissale,ok,Toxostoma crissale,Crissal Thrasher,
Toxostoma curvirostre,curve-billed-thrasher-toxostoma-curvirostre,ok,Toxostoma curvirostre,Curve-billed Thrasher,
Toxostoma guttatum,cozumel-thrasher-toxostoma-guttatum,ok,Toxostoma guttatum,Cozumel Thrasher,
Toxostoma lecontei,le-contes-thrasher-toxostoma-lecontei,ok,Toxostoma lecontei,Le Conte's Thrasher,
Toxostoma longirostre,long-billed-thrasher-toxostoma-longirostre,ok,Toxostoma longirostre,Long-billed Thrasher,
Toxostoma ocellatum,ocellated-thrasher-toxostoma-ocellatum,ok,Toxostoma ocellatum,Ocellated Thrasher,
Toxostoma redivivum,california-thrasher-toxostoma-redivivum,ok,Toxostoma redivivum,California Thrasher,
Toxostoma rufum,brown-thrasher-toxostoma-rufum,ok,Toxostoma rufum,Brown Thrasher,
Trachyphonus vaillantii,crested-barbet-trachyphonus-vaillantii,ok,Trachyphonus vaillantii,Crested Barbet,
Tragopan melanocephalus,western-tragopan-tragopan-melanocephalus,ok,Tragopan melanocephalus,Western Tragopan,
Tragopan satyra,satyr-tragopan-tragopan-satyra,ok,Tragopan satyra,Satyr Tragopan,
Tregellasia capito,pale-yellow-robin-tregellasia-capito,ok,Tregellasia capito,Pale-yellow Robin,
Treron apicauda,pin-tailed-green-pigeon-treron-apicauda,ok,Treron apicauda,Pin-tailed Green-pigeon,
Treron bicinctus,orange-breasted-green-pigeon-treron-bicinctus,ok,Treron bicinctus,Orange-breasted Green-pigeon,
Treron capellei,large-green-pigeon-treron-capellei,ok,Treron capellei,Large Green-pigeon,
Treron curvirostra,thick-billed-green-pigeon-treron-curvirostra,ok,Treron curvirostra,Thick-billed Green-pigeon,
Treron floris,flores-green-pigeon-treron-floris,ok,Treron floris,Flores Green-pigeon,
Treron fulvicollis,cinnamon-headed-green-pigeon-treron-fulvicollis,ok,Treron fulvicollis,Cinnamon-headed Green-pigeon,
Treron griseicauda,grey-cheeked-green-pigeon-treron-griseicauda,ok,Treron griseicauda,Grey-cheeked Green-pigeon,
