"","myrow","island","cosmopolitan","new.old","realm1red","realm2green","mydata$uniquePairId"
"212",212,0,0,0,"AT","AT",593
"213",213,0,0,0,"AT","AT",595
"214",214,0,0,0,"IM","IM",609
"215",215,0,0,0,"AT","AT",638
"216",216,0,0,0,"AT","AT",647
"217",217,0,1,0,"IM","IM",665
"218",218,0,0,0,"AT","AT",672
"219",219,1,0,0,"AA","AA",682
"220",220,0,0,0,"NT","NT",683
"221",221,0,0,0,"AT","AT",689
"222",222,1,0,0,"IM","IM",702
"223",223,0,0,0,"NT","NT",707
"224",224,0,0,0,"AT","AT",720
"225",225,0,0,0,"NT","NT",722
"226",226,1,0,0,"AA","AA",735
"227",227,0,0,0,"NT","NT",744
"228",228,0,0,0,"NT","NT",747
"229",229,1,0,0,"IM","AA",751
"230",230,0,0,0,"NT","NT",761
"231",231,0,0,0,"NT","NT",763
"232",232,0,0,0,"NT","NT",773
"233",233,0,0,0,"AT","AT",776
"234",234,0,0,0,"PA","AT",784
"235",235,0,0,0,"NT","NT",786
"236",236,0,0,0,"NT","NT",795
"237",237,1,0,1,"IM","NT",808
"238",238,0,0,0,"NT","NT",810
"239",239,0,0,0,"NT","NT",814
"240",240,0,0,0,"NT","NT",815
"241",241,0,1,0,"AT","IM",834
"242",242,0,0,0,"NT","NT",849
"243",243,0,0,0,"PA","PA",868
"244",244,0,0,0,"PA","AT",871
"245",245,0,0,0,"NT","NT",876
"246",246,0,0,0,"AT","IM",938
"247",247,1,0,1,"NT","AA",977
"248",248,0,0,0,"AT","IM",981
"249",249,0,0,0,"PA","PA",986
"250",250,0,0,0,"IM","AT",987
"251",251,0,0,0,"PA","PA",1011
"252",252,1,0,1,"PA","NA",1015
"253",253,1,0,1,"PA","NA",1038
"254",254,1,0,0,"OC","OC",1
"255",255,1,0,0,"AT","AT",2
"256",256,1,0,0,"OC","OC",3
"257",257,1,0,0,"NT","NT",4
"258",258,1,0,0,"NT","NT",6
"259",259,1,0,0,"NT","NT",8
"260",260,1,0,0,"NT","NT",9
"261",261,1,0,0,"NT","NT",11
"262",262,1,0,0,"AA","AA",12
"263",263,0,0,0,"NT","NT",59
"264",264,1,0,0,"IM","IM",84
"265",265,0,0,0,"NT","NT",166
"266",266,1,0,0,"IM","IM",357
"267",267,1,0,0,"IM","IM",679
"268",268,0,0,0,"PA","PA",972
